"Progress of species at risk towards their population and distribution objectives, Canada, May 2024",,,,,,,,,,
,,,,,,,,,,
Common name,Scientific name,Species group,Species at Risk Act status,Final recovery document date,Reassessment date,Progress report date,Recovery document objectives ,Species data,Rationale,Progress of species at risk towards their population and distribution objectives
Eastern sand darter (Quebec populations),Ammocrypta pellucida,"Fish, freshwater",Threatened,4/29/2014,11/1/2009,6/2/2022,"Short-term objective is to maintain populations throughout the species' distribution in Quebec. The objective over the longer term (i.e., 20 years) is to promote the growth of existing populations to ensure their viability and, wherever possible, to restore historical populations that have disappeared. ","The species presence has been confirmed in the six rivers from which it is historically known. The species has also been identified in an additional nine rivers. Although only a few specimens were recorded in some rivers, they are valuable new records that expand the range of the Eastern Sand Darter in Quebec. ","Significant progress has been made over the last five years in the implementation of the activities set out in the recovery strategy for the Eastern Sand Darter, Quebec populations.",Yes
Eastern whip-poor-will,Antrostomus vociferus,Bird,Threatened,11/8/2018,12/1/2022,,"Short term: Population does not decrease by more than 10% (12 000 individuals) over 2018-2028 period, and maintain the area of occupancy at 3,000 km2 or above. Long term: Ensure a positive 10-year population trend starting in 2028, while favouring an increase in the area of occupancy, including the gradual recolonization of areas in the southern portion of the breeding range. ","The population in Canada is estimated to be 140,000 mature individuals, and the area of occupancy is greater than 2,000 km2. Reanalysis of trend data suggests that the decline may not have been quite as severe as thought at the time of the previous assessment, and new data suggest that abundance may now be stable or increasing. ","Population objective is met, likely due to improvements to estimation methods. Reanalysis of the trend data shows that overall, populations are either stable or increasing. The population in New Brunswick has been declining in the short- and long-term.",Mixed evidence
Eastern yellow-bellied racer,Coluber constrictor flaviventris,Reptile,Threatened,10/27/2010,11/1/2015,11/1/2015,Maintain the species' distribution within Canada.,The population has declined as a result of a 2011 terrain slumping event in Grassland National Park that killed and displaced snakes from the largest known den of this subspecies in Canada.,The population has declined since 2011.,No
Edwards' beach moth,Anarta edwardsii,Insect,Endangered,12/20/2017,4/1/2021,,The population and distribution goal is to ensure the persistence of Edwards’ Beach Moth at all extant sites (and any new sites) and maintain its current distribution within its range in British Columbia.,There are 4 extant subpopulations located on Vancouver Island. There is no Canadian population estimate. ,There is no population estimate to determine trends.,Insufficient data to determine trends
Enos Lake benthic threespine stickleback,Gasterosteus aculeatus,"Fish, freshwater",Endangered,8/21/2019,12/1/2023,10/12/2016,The survival and recovery of the stickleback species pair in Enos Lake is not feasible because evidence suggests the Enos Lake stickleback species pair has collapsed into a single hybrid population. No population or distribution objectives have been set.,The benthic and limnetic forms of Enos Lake threespine stickleback collapsed into a single genetic and morphological hybrid form following the appearance of the American signal crayfish. Distinct limnetic and benthic forms in Enos Lake are no longer discernible.,2023 COSEWIC reassessment designated as Extinct. It is unlikely that genetically pure benthics remain in Enos Lake and there is no captive population. ,Not feasible
Enos Lake limnetic threespine stickleback,Gasterosteus aculeatus,"Fish, freshwater",Endangered,8/21/2019,12/1/2023,10/12/2016,The survival and recovery of the stickleback species pair in Enos Lake is not feasible because evidence suggests the Enos Lake stickleback species pair has collapsed into a single hybrid population. No population or distribution objectives have been set.,The benthic and limnetic forms of Enos Lake threespine stickleback collapsed into a single genetic and morphological hybrid form following the appearance of the American signal crayfish. Distinct limnetic and benthic forms in Enos Lake are no longer discernible.,2023 COSEWIC reassessment designated as Extinct. It is unlikely that genetically pure limnetics remain in Enos Lake and there is no captive population. ,Not feasible
"Ermine, haidarum subspecies",Mustela erminea haidarum,Mammal,Threatened,7/22/2011,5/1/2015,5/1/2015,"Maintain or restore a self-sustaining, wild population across its historical range by 2036.","Recent results, when compared to historical trapping records, suggest a decline in numbers.",A historical population decline since the 1950s is inferred.,No
Eskimo curlew,Numenius borealis,Bird,Endangered,6/20/2007,11/1/2009,11/1/2009,"Recovery is not feasible for this species at this time.  Determination of recovery feasibility will be re-evaluated in response to changing conditions and/or knowledge (that is, if Eskimo Curlews are located).","Dramatic declines in numbers were observed in the 1870s to 1890s, after which Eskimo Curlews became very rare. No nests have been reported for over 100 years, despite extensive surveys in historical breeding areas. Although there have been a number of sightings reported in recent decades, mostly during migration, there have been no fully substantiated records since 1963, when a bird was collected in Barbados.",n/a,Not feasible
False rue-anemone,Enemion biternatum,"Vascular plant, herb",Threatened,12/21/2017,4/1/2022,,"To maintain the distribution, and maintain or increase the abundance of stems at extant populations and any reconfirmed historic populations in Canada.","The Canadian population is distributed across several subpopulations and numerous sites, with most plants concentrated at two sites, representing two subpopulations. Quantitative population trend information is not available. In the past 30 years, the known population size has increased due to greater survey effort. There have been some local declines, including the presumed extirpation of three small occurances and an apparant 70% decline in the estimated number of stems at the largest patch. The extent of occurence is stable, there is an inferred decline in the index of area of occupancy.",There is insufficient data to determine population trends. There was an increase in survey effort which increased the size of the known population.,Insufficient data to determine trends
Felt-leaf willow,Salix silicicola,"Vascular plant, herb",Special Concern,12/18/2013,4/1/2018,4/1/2018,Maintain current population density and area of occupancy.,Population estimated to be 2 340 000 to 37 070 000 individuals. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Fernald's braya,Braya fernaldii,"Vascular plant, herb",Endangered,7/6/2012,11/1/2012,11/1/2012,Maintain populations within the current species range.,"A survey between 1996 and 2000 estimated that there were 3434 flowering Fernald's Braya. The same 15 populations counted 8–12 years later contained only 1242 mature plants (a 64% decline). An additional population not known during the first survey (Green Island Brook) contained 2056 mature plant. However, the Green Island Brook population occurs in a site disturbed by human activity and may only persist by immigration from outside populations. The population size of Fernald's Braya continues to decline, based on permanent monitoring plots.",Population size is declining.,No
Fin whale (Atlantic population),Balaenoptera physalus ,Mammal,Special Concern,1/25/2017,5/1/2019,,The objective of the present management plan is to ensure that anthropogenic threats in Canadian waters do not provoke a decline in the population or a reduction in the currently observed Canadian range.,Fin Whale abundance in the North Atlantic and North Pacific appears to be recovering following severe depletion from commercial whaling in the 20th century.,"Although no abundance trend is available for the Canadian Pacific, surveys in neighbouring US waters show increasing abundance at an annual average of 7.5% off the US mainland west coast and 4.8% off Alaska.",Yes
Fin whale (Pacific population),Balaenoptera physalus,Mammal,Threatened,7/14/2006,5/1/2019,1/19/2022,Maintain or increase the relative proportions of Fin Whales in Canadian Pacific waters compared to the whole population through to 2016. Attain a long-term viable population of Fin Whales that use Canadian Pacific waters.,"Current abundance estimates are less than 1000 mature individuals, but this excludes individuals in Canadian waters beyond the continental shelf where substantial numbers were sighted in a 2018 survey.","The abundance of this large whale appears to be recovering from depletion due to industrial whaling, which ended in the mid-1970s. Additionally, populations in neighbouring United States waters are increasing and could augment the Canadian population.",Yes
Five-lined skink (Carolinian population),Plestiodon fasciatus,Amphibian,Endangered,6/26/2019,4/1/2021,,The population and distribution objectives by Environment and Climate Change Canada is to ensure the long-term viability and survival.,"There are 9 extant subpopulations of the Carolinian population, totalling an estimate of between 500 and 5000 mature individuals. In the last decade, there was likely more than a 30% population decline based on an observed decline of 32% in the largest monitored subpopulation.",There was more than a 30% population decline in the last decade and a projected future decline over the next decade of 10 to 70%.,No
Five-lined skink (Great Lakes/St. Lawrence population),Plestiodon fasciatus,Amphibian,Special Concern,8/5/2013,4/1/2021,,The management objective is to maintain the distribution and number of viable element occurances.,"There are 87 subpopulations on the southern fringe of the Canadian Shield, totalling >500,000 individuals. There is no multi-year population data to determine population trends. Three sites in the Georgian Bay Islands National Park appear to be decreasing based on search effort.",There is insufficient population data and search effort to determine trends.,Insufficient data to determine trends
Floccose tansy,Tanaisie floconneuse,"Vascular plant, herb",Special Concern,12/18/2013,4/1/2018,4/1/2018,Maintain current population density and area of occupancy.,Population estimated to be 2 780 000 to 21 380 000 individuals in the core Athabasca sand dunes complex. Potential decline in extent of occurrence based on forest ingress along western margins of William River dunes. Decline in habitat due to net conversion of open dune area to forest.,No information available to directly assess population trends,Insufficient data to determine trends
Flooded jellyskin,Leptogium rivulare,Lichen,Special Concern,2/25/2013,11/1/2015,11/1/2015,Maintain the size and distribution of currently known extant populations.,"Trends in the Canadian range or abundance cannot be assessed, owing to the scarcity of historical data. Increased search efforts have increased the number of known occurrences to 76. A former occurrence at Wawa is extirpated.",One location has been extirpated.,No
Foothill sedge,Carex tumulicola,"Vascular Plant, herb",Endangered,6/21/2013,11/1/2022,12/21/2023,Maintain the seven extant populations of Foothill Sedge and prevent declines in the known distribution of Foothill Sedge populations in Canada. ,"There is an estimate 1660 to 3514 mature individuals in Canada that are distributed into 23 subpopulations. In the last 10 years, declines in the number of mature individuals have been observed at 7 subpopulations; the rest appear stable. On Sidney Island in the Gulf Islands National Park Reserve, there was a significant increase of observed plants in 2019 and 2021; however, it is suspected to be a result of improved survey methods.",There was an observed loss at 7 of 23 subpopulations in the last 10 years.,No
Frosted elfin,Callophrys irus,Insect,Extirpated,3/6/2019,5/1/2019,5/1/2019,Maintain and/or increase sufficient suitable habitat to support a metapopulation (20-30yrs),Species has not been observed since 1988.,Species has not been observed since 1988.,Operational goals
Frosted glass-whiskers (Nova Scotia population),Sclerophora peronella,Lichen,Special Concern,6/29/2011,11/1/2014,11/1/2014,"Maintain the 2 known Nova Scotia occurrences, as well as any other populations that are discovered in Nova Scotia.","Increased survey effort has found this species at additional sites. Although habitat availability is thought to be declining, no known sites have been lost.",Known occurrences have been maintained.,Yes
Furbish's lousewort,Pedicularis furbishiae,"Vascular plant, herb",Endangered,6/23/2010,5/1/2011,5/1/2011,"By 2020, maintain the existing populations at a minimum of 200 individuals per segment in river segments between Grand Falls and Perth Andover, maintain the number of individuals at a minimum of 250 between the International border and Grand Falls, and maintain the number of individuals at a minimum of 250 at the upland site near Aroostook. By 2020, establish self-sustaining populations in additional river segments within its range.","Available data suggests relative stability in population numbers from 1977 to 2002, followed by possible declines between 2001–2002 and 2008–2010. Because of its dynamic habitat and poor competitive ability, local extinctions and colonization events are expected over time. Since 2003, monitoring at known sites, through restricted scope, suggest that the population may still be in decline. Changes to river dynamics, land clearing of buffer trees, recreational activities, and the introduction of invasive species have resulted in continuing population decline at the existing sites.",Populations continue to decline at existing sites. ,No
Giant threespine stickleback,Gasterosteus aculeatus,"Fish, freshwater",Special Concern,11/10/2022,12/1/2023,,Maintain self-sustaining populations of giant threespine stickleback in Mayer and Drizzle Lake.,"The last population estimate in 2013 suggests approximately 96,000 adults in Drizzle Lake based on observations and recruitment, and over 100,000 adults in Mayer Lake based on expert opinion. Target abundance levels are 100,000 and 75,000 individuals, respectively.","Though expert opinion based on general observation suggest a stable population, per the 2023 COSEWIC reassessment, trends are not known definitively as updated population estimates are unavailable. ",Insufficient data to determine trends
Gold-edged gem,Schinia avemensis,Insect,Endangered,3/13/2014,11/1/2016,11/1/2016,Maintain or increase the distribution in Canada.,"The number of occupied sites appears to be relatively stable, but likely has declined from historical levels due to habitat loss. There are too few data for useful population estimates.","There is insufficient information to determine population trends, although habitat continues to decline.",Insufficient data to determine trends
Golden paintbrush,Castilleja levisecta,"Vascular plant, herb",Endangered,8/11/2006,11/1/2007,11/1/2007,"Attain viable, self-sustaining populations distributed throughout its historic range in Canada. Achieve a minimum of at least 9 populations, maintaining the 2 existing populations at their current levels of abundance, and establishing at least 7 new populations.","Golden Paintbrush has been reported from 8 locations in Canada, only 2 of which have extant populations. Based on the most recent data there was a total of 3361 flowering plants in Canada in 2006. This appears to represent a population decline of about 25% over the past 10 years. ",Decline in population size is inconsistent with goal of attaining self-sustaining populations at existing sites. No new populations have been established.,No
Goldencrest,Lophiola aurea,"Vascular plant, herb",Special Concern,9/8/2010,5/1/2012,5/1/2012,Maintain extant populations at present levels of abundance or greater.,"The total Canadian population includes hundreds of thousands of rosettes, although the number of genetic individuals is certainly much lower. Populations occur near lakes and are almost certainly slowly declining with shoreline development.",Population size is declining slowly.,No
Grass pickerel,Esox americanus vermiculatus,"Fish, freshwater",Special Concern,4/27/2012,11/1/2014,3/14/2024,Ensure the long-term persistence throughout its distribution in Canada. Maintain and increase existing populations. ,"The evaluation of the species' distribution and abundance in known and new areas with suitable habitats confirmed its continued presence, while sampling in new areas helped confirm/refine the extent of the species' distribution. Since 2010, grass pickerel has been detected at five new localities within Ontario and nine watercourses in Quebec that had not been historically identified as supporting grass pickerel populations. ","Knowledge of distribution of the species in Canada remains incomplete. Overall, management activities conducted from 2012 to 2017, and 2017 to 2022 have helped to provide a clearer understanding of the range and extent of grass pickerel in Canada. ",Insufficient data to determine trends
Gravel chub,Erimystax x-punctatus,"Fish, freshwater",Extirpated,2/27/2008,5/1/2019,4/13/2016,"Confirm that gravel chub is no longer present, examine habitat conditions, threats and feasibility of reintroduction.",Gravel Chub was not detected but permission to survey an important site was not received.,n/a,Operational goals
Great basin spadefoot,Spea intermontana,Amphibian,Threatened,12/22/2017,11/1/2019,,"Recovery goal: Maintain or increase the abundance of Great Basin Spadefoot in each of the six geographic areas where it occurs and to ensure connectivity within these areas. Recovery objectives: 1. Secure Great Basin Spadefoot core habitats within each of the six geographic areas that it occupies. 2. Maintain or increase connectivity across the landscape within and among adjacent subpopulations. 3. Address knowledge gaps related to the distribution, breeding, terrestrial and connectivity habitat requirements, population dynamics across the landscape, impacts of priority threats, and effectiveness of recovery actions.","Size of Canadian population of Great Basin Spadefoot is unknown, but probably consists of well over 10 000 individuals. Largest number of mature individuals, over 5000, is thought to be in the Okanagan region. Number of mature individuals is inferred to fluctuate more than 10-fold among years. Recent population trends are unknown due to lack of systematic surveys and long-term monitoring, but local declines have been noted, particularly in the Okanagan, following habitat loss and alteration. ",n/a,Insufficient data to determine trends
Great Plains toad,Anaxyrus cognatus,Amphibian,Special Concern,1/16/2013,5/1/2023,,To maintain the current distribution of the Great Plains Toad by promoting and implementing conservations measures that will reduce threats to the species.,"Population sizes and trends are unknown. There were increases between 2011 and 2019 in extent of occurrence and index of area of occupancy, but it is likely due to increases in knowledge.","Insufficient data available, but population and habitat availability are likely declining due to threats.",Insufficient data to determine trends
"Greater sage grouse, urophasianus subspecies",Centrocercus urophasianus urophasianus,Bird,Endangered,12/31/2014,11/1/2021,12/29/2021,"1. Immediately, stop the decline of the adult Sage-Grouse population in Canada. 2. In short-term, reverse the population decline, and increase the number of active leks, in both Alberta and Saskatchewan. 3. In the long-term, achieve a stable or increasing Sage-Grouse population in Canada of - at least 1095 adult Sage-Grouse, among 16 or more active leks in Alberta, and - at least 1500 adult Sage-Grouse, among 20 or more active leks in Saskatchewan.","Greater Sage-Grouse populations in Canada appear to be cyclic; which makes short-term trends difficult to assess. Number of males at active leks has rebounded somewhat from the lowest point between 2011 and 2014, but remains lower than any year before 2009. There are continued declines of mature individuals in the West Block of Grasslands National Park and an overall inferred 13% reduction in the total number of mature individuals over the last 3 generations (2009-2020). There is a decline in the number of active leks.",Population and number of active leks are in decline.,No
"Greater sage-grouse, phaios subspecies",Centrocercus urophasianus phaios,Bird,Extirpated,12/20/2017,11/1/2021,,Not feasible,Has not been reported since the 1960s.,n/a,Not feasible
Greater short-horned lizard,Phrynosoma hernandesi,Reptile,Endangered,7/31/2015,11/1/2018,11/1/2018,Maintain populations in all of the critical habitat polygons within the 8 currently known areas of occupancy of the species plus any new populations discovered in the future,"Current trends in population size and habitat quality is unknown. Some subpopulations are presumed extirpated near Medicine Hat. Surveys have noted increases and decreases in subpopulations, however presence of lizards have not been confirmed in areas near Medicine Hat.","Recent declines are evident in local areas, particularly around Medicine Hat (subpopulations presumed extirpated).",No
Green-scaled willow,Salix chlorolepis,"Vascular plant, tree",Threatened,2/16/2011,11/1/2020,,Maintain the Canadian population and distribution at their current levels.,"Endemic to Quebec. The population is estimated to be less than 500 individuals divided in 4 subpopulations. There is insufficient evidence to determine population trends. There is evidence of decline in the Parc national de la Gaspésie, however it is possible that the individuals that died were disproportionately comprised of hybrids.",There is insufficient population data to determine population trends.,Insufficient data to determine trends
Grey whale (Atlantic population),Eschrichtius robustus,Mammal,Extirpated,9/27/2007,5/1/2022,,Not feasible,Status re-examined and designated as Extinct.,Extinct,Not feasible
Grey whale (Eastern North Pacific population),Eschrichtius robustus,Mammal,Special Concern,1/13/2011,11/1/2017,11/2/2023,"Maintain the current known distribution, and migration route of Grey Whales in Pacific Canadian waters.",Split into two populations in November 2017 (Northern Pacific Migratory and Pacific Coast Feeding Group). The original COSEWIC designation  (Eastern North Pacific population) was de-activated.,Population designation de-activated in November 2017. Split into two new DUs. Northern Pacific Migratory Population - assessed as not at risk.  Pacific Coast Feeding Group population - assessed as endangered.,Insufficient data to determine trends
Gulf of St. Lawrence aster,Symphyotrichum laurentianum,"Vascular Plant, herb",Threatened,10/23/2012,5/1/2023,,"To maintain and, if possible, increase the number of individuals and area of occupancy within each of the 16 occurrences identified as priority targets, including nine occurrences in Quebec, four in New Brunswick and three in Prince Edward Island.","Of 12 extant subpopulations, 3-5 subpopulations in PEI and Kouchibouguac National Parks are potentially dependent on continuing reintroductions. The number of mature individuals at the extant sites have decreased since the last species count. 13 subpopulations are likely extirpated.",Subpopulations are declining and are dependent on human intervention.,No
Half-moon hairstreak,Satyrium semiluna,Insect,Endangered,6/17/2016,12/1/2022,,To ensure the persistence of Half-moon Hairstreak at all known extant locations (and any new locations) within the species’ range in Canada.,There is no information on the population size or trends for the Okanagan-Similkameen or Waterton Lakes populations.,Methods for calculating population estimates are not intended to provide estimates of population counts.,Insufficient data to determine trends
Haller's apple moss,Bartramia halleriana,Moss,Threatened,10/20/2010,11/1/2011,11/1/2011,"Maintain or increase population sizes at all 10 existing locations. Where feasible, reintroduce the species to previous locations with suitable or capable habitat.","In November 2001, 4 populations (3 recent, 1 historic) were known. Twelve additional populations had been located by November 2011. One population has become extirpated recently with a minimum loss of 1 colony. Thus, 15 populations are confirmed extant and 1 is extirpated, for a total of 16 populations. One population appears to be declining. Currently, 9 populations appear to be stable and trends for the 5 most recently discovered populations are unknown. The current abundance estimate totals 1173 mature individuals (colonies).","Currently, 9 populations appear to be stable; trends for the 5 most recently discovered populations are unknown.",Yes
Harbour porpoise (Pacific Ocean population),Phocoena phocoena,Mammal,Special Concern,4/12/2009,4/1/2016,10/2/2018,Maintain a self-sustaining population within its known range in Pacific waters of Canada.,There are no systematic survey data or population trends. A population of 9120 porpoises was estimated during 2004 and 2005 in British Columbia coastal waters (excluding west coast of Vancouver Island and Haida Gwaii).,Population trends are unknown.,Insufficient data to determine trends
"Harbour seal, Lacs des Loups Marins subspecies",Phoca vitulina mellonae,Mammal,Endangered,6/8/2018,4/1/2018,,The distribution objective of this strategy is to maintain the present range of the Lacs des Loups Marins Harbour Seal.,There are no reliable estimates of the abundance of Lacs des Loups Marins Harbour Seals because little information is available. Range-wide abundance trends cannot presently be calculated.,Population trends are unknown.,Insufficient data to determine trends
Harlequin duck (Eastern population),Histrionicus histrionicus,Bird,Special Concern,6/20/2007,11/1/2013,11/1/2013,Maintain a wintering population of 3000 Harlequin Ducks in eastern North America for 3 of 5 consecutive years.,"An estimated 3226 to 3420 Eastern population adults winter along the east coast of North America. All birds from this wintering population originate from Canadian breeding areas. Though still small relative to historical levels, this wintering population has increased since cessation of hunting in 1990. The population trend from 1981 to 2013 for birds wintering in eastern North America is estimated to be increasing at about 5% per year.","Population size is increasing, and appears to have met the population levels outlined in the goals.",Yes
Henslow's sparrow,Ammodramus henslowii,Bird,Endangered,8/18/2010,5/1/2011,5/1/2011,"By 2015, to achieve at least 1 stable breeding population of 5 to 10 pairs. The recovery strategy was amended on 15 September 2010. No changes were made to the recovery goals established earlier in 2010.",The abundance and breeding distribution of the Henslow's Sparrow have undergone marked fluctuations in response to changes in habitat availability. Observations since 1985 are too few to determine recent trends. There are no indications of any increase for the period 2000 to 2011.,Data are too few to determine recent trends.,Insufficient data to determine trends
Hoary Mountain-mint,Pycnanthemum incanum,"Vascular plant, herb",Endangered,11/20/2007,11/1/2011,11/1/2011,Increase size of existing populations to self-sustaining levels.,"No decline in mature individuals is documented, and owing to new discoveries, the population now includes more than 250 individuals. There are 2 populations of this species known to be extant. An additional subpopulation was newly discovered in 2010, and appears to have become established from an existing seed bank following site restoration initiated in fall 2008. At the time of assessment it contained 15 seedlings.",Population sizes are not sufficiently well documented to indicate trends. ,Insufficient data to determine trends
Hooded warbler,Setophaga citrina,Bird,Not at risk,5/1/2012,5/1/2012,5/1/2012,"Increase the number of breeding pairs to 500, distributed within the species' current Ontario range.","Data from all sources show a consistent pattern of strong increases in the abundance and distribution of the population in Canada. The Canadian population in 2013 is estimated to be between 500 and 1000 breeding pairs. Searches at known and potential breeding locations documented ongoing increases in population size, number of occupied sites, and breeding distribution. ",Increasing population has reached recovery goals.,Yes
Horned grebe (Magdalen Islands population),Podiceps auritus,Bird,Endangered,5/17/2013,5/1/2023,," 5-year objectives: To maintain and, as far as possible, increase the current horned grebe, Magdalen Islands population. The objective is to maintain 15 adults per year and, if possible, increase this number. They must be present on Île Brion and Île de l'Est, and, if possible, must recolonize other islands in the archipelago. Long-term objectives: to increase the size and distribution of hte population so that it occupies all areas in which it was present before 2005. The population objective is to reach an annual total of at least 30 adults. In terms of distribution, the species must be present on Île de l’Est and Île Brion and must recolonize Île de la Grande Entrée, Grosse Île, Île aux Loups, Île du Havre aux Maisons, Île du Cap-aux-Meules and Île du Havre-Aubert.","National population is estimated at 200,000 to 500,000 individuals. ",There is likely less than 10 individuals in the subpopulation.,No
Horned grebe (Western population) ,Podiceps auritus,Bird,Special Concern,10/20/2022,5/1/2023,,"To maintain, over the years 2022 to 2052, population levels at or above the average population levels of the past 30 years (1987-2017), and to maintain the population's current distribution in Canada.","National population is estimated at 200,000 to 500,000 individuals. Breeding density is estimated at 1.5 to 3.3 pairs per km2 in the parkland zone of the Prairies, 2.2 pairs per km2 in the boreal range surrounding Yellowknife, and 0.5 pairs per km2 at the natural ponds east of Yellowknife. Geographic range is estimated at 3,900,000 km2. ","The decrease in geographic range from 2009 is due to change in methodology and not a reflection of a change in range. Long-term trends indicate that each region is experiencing a population decline. There is a strong bias in population sampling towards the southern portion of their range, which may affect population counts and trend estimates.",No
Hotwater physa,Physella wrighti,Mollusc,Endangered,1/29/2007,4/1/2008,5/25/2022,Maintain and protect the population(s) within its natural geographic range and within its current range of abundance.,"Population surveys completed between 2016 and 2019 at Liard River Hotsprings Park suggest that habitat conditions and population abundance of Hotwater Physa remain stable. The distribution of Hotwater Physa has been maintained within Alpha Pool, Beta Complex, and outlet streams. ",Population survey's completed between 2016 and 2019 continue to suggest that the relative abundance of Hotwater Physa has remained stable. ,Yes
Incurved grizzled moss,Ptychomitrium incurvum,Moss,Extirpated,11/20/2007,11/1/2021,,Recovery of this species is considered not technically or biologically feasible at this time. Determination of recovery feasibility will be re-evaluated in response to changing conditions and/or knowledge.,"The only known occurrence in Canada is from Southern Ontario, documented in 1825. The species has never been rediscovered.",n/a,Not feasible
Island blue,Plebejus saepiolus insulanus,Insect,Endangered,7/15/2008,12/1/2022,,"Confirm the presence of the subspecies within its historic range in Canada, and protect any extant populations.","This species has not been documented in the field since 1979. However, search effort is insufficient to conclude that the species is extinct.",n/a,Operational goals
Island marble,Euchloe ausonides insulanus,Insect,Extirpated,8/11/2006,12/1/2022,,"Attain viable, self-sustaining populations within the species' historic range in Canada.","This butterfly was formerly found on 2 islands off the west coast, but disappeared from both sites by 1910 because of loss of the larval host plant. The historic Canadian range of the Island Marble has been extensively surveyed from 2001 to 2008 in an effort to locate it along with other at-risk butterflies. During these surveys, neither the Island Marble nor apparently suitable habitat has been detected. All available evidence suggests that the Island Marble is extirpated in Canada.",Available evidence suggests the Island Marble is extirpated in Canada. ,No
Ivory gull,Pagophila eburnea,Bird,Endangered,3/13/2014,12/1/2023,,"Long-term goal: To see the Canadian population increased to more that 1000 birds in Canadian range-wide surveys, with the breeding distribution maintained. Objectives: Maintain the 2009 distribution and abundance of ivory gulls on eastern Ellesmere Island, over a five-year average (i.e., abundance will vary annually, but over 5 years, maintain at 2009 levels of 700 individuals). Maintain the Seymour Island colony at ≥ 100 individuals annually. Maintain the presence of breeding ivory gulls on Baffin Island, Cornwallis Island, and Devon Island. Maintain the presence of wintering ivory gulls that breed in Canada and Europe, which includes Canadian waters in Davis Strait and Baffin Bay as well as off the coast of Labrador.","The Canadian breeding population is estimated to be between 1950 and 2250 mature individuals. The increase is attributed to expanded surveying efforts. Newly discovered colonies, likely long-established, were found in previously unexplored areas north of Makinson Inlet on Ellesmere Island. Historical colonies were abandoned in Brodeur Peninsula of Baffin Island, Devon Island, Cornwallis Island, and southern Ellesmere Island. The Seymour Island colony may no longer be viable due to decline in nesting activity.","Breeding distribution is declining due to abandonment of historical colonies on northern Baffin Island, Devon Island, and Cornwallis Island. The Seymour Island colony no longer be viable due to decline in nesting activity. Ellesmere Island population increase could be due to the discovery of new populations and not an increase in monitored populations. Overall, breeding populations are in decline.",No
Karner blue,Plebejus samuelis,Insect,Extirpated,3/6/2019,5/1/2019,5/1/2019,Maintain and/or increase sufficient suitable habitat to support a metapopulation (20-30yrs),Species has not been observed since 1991.,Species has not been observed since 1991,Operational goals
Kentucky coffee-tree,Chicot févier,"Vascular plant, tree",Threatened,12/23/2014,4/1/2021,11/1/2000,"The focus of recovery efforts is targeted to native, extant populations, primarily those in natural settings. The population and distribution objectives are to: (1) maintain extant native populations within natural settings at their current abundance and distribution; (2) augment extant single-sex native populations occurring within natural settings to attempt to establish sexually-reproducing populations, if biologically and technically feasible, and; (3) maintain the remaining extant native populations that occur in landscaped or agricultural settings either in situ or through their incorporation into, or use in the establishment of, populations in natural settings.","Its distribution in Canada is limited to southwestern Ontario and represents 3% of its global distribution. Sexual reproduction is limited; the main form of reproduction is through root suckers. As such, most subpopulations are composed of single-sex clone and there is low genetic diversity in the Canadian population. There are 34 extant or presumed extant subpopulations, with a total estimate of 429-527 mature trees. There is no change in the number of mature trees in the Canadian population, however the addition of manipulated population components likely obscures the loss of mature individuals.","There is an inferred increase resulting from manipulated population components, however it is not known whether there was a decline in existing mature individuals.",Insufficient data to determine trends
Kidneyshell,Ptychobranchus fasciolaris,Mollusc,Endangered,7/13/2006,5/1/2013,5/18/2022,Maintain healthy self-sustaining populations in the Ausable and Sydenham rivers while returning the Lake St. Clair delta population to a self-sustaining level. Re-establish populations in historically occupied habitats.,"The Kidneyshell is now Extirpated in upper and lower Thames and Grand Rivers and in Lake Erie off Pelee Island. Currently, the species is restricted to the East Sydenham and Ausable rivers, Lake St. Clair delta, and Medway Creek of the Thames River. Populations continue to decline in Lake St. Clair and Ausable River, while populations in the Sydenham River appear stable. Both Ausable and East Sydenham river populations appear to be reproducing but populations in Medway Creek and Lake St. Clair are not reproducing. The extent of occurrence declined to 2050 square kilometres in 2001, but has subsequently increased to 2866 square kilometres over the last 10 years, largely due to increased search effort.",Sampling conducted in the last five years has not led to the detection of Kidneyshell at new or historically occupied locations.,No
Killer whale (Northeast Pacific northern resident population),Orcinus orca,Mammal,Threatened,12/5/2018,12/1/2023,1/26/2022,"Ensure the long-term viability of resident killer whale populations by achieving and maintaining demographic conditions that preserve their reproductive potential, genetic variation, and cultural continuity.",This population has approximately 332 individuals (~176 mature) (2021 survey). This population has grown at a mean annual rate of 2% per year since the early 1970s when monitoring began.,Population trend is increasing or stable.,Yes
Killer whale (Northeast Pacific offshore population),Orcinus orca,Mammal,Threatened,11/7/2018,12/1/2023,11/1/2008," Achieve a stable or increasing trend in the abundance (i.e., increased birthrate and/or decreased death rate) and genetic diversity of the offshore killer whale population. Ensure continued use of Canadian Pacific waters by the offshore killer whale population.","This population has approximately 300 individuals (~160 mature) (2012 survey). Based on available information, the population appears to be at least stable.","Although the population is small enough to qualify for Endangered (total number of mature individuals ~160, which is well below the threshold of 2,500), there is no evidence of a continuing decline.",No
